0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:56:03 +0530] "POST /Project-4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:56:03 +0530] "GET /Project-4/WelcomeCtl HTTP/1.1" 200 2299
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:56:06 +0530] "GET /Project-4/ctl/MyProfileCtl HTTP/1.1" 200 5612
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:56:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:56:06 +0530] "GET /Project-4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:56:09 +0530] "GET /Project-4/ctl/ChangePasswordCtl HTTP/1.1" 200 4065
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:56:10 +0530] "GET /Project-4/ctl/GetMarksheetCtl HTTP/1.1" 200 3090
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:56:12 +0530] "GET /Project-4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 4339
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:56:15 +0530] "GET /Project-4/ctl/MarksheetCtl HTTP/1.1" 200 5124
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:56:16 +0530] "GET /Project-4/ctl/MarksheetListCtl HTTP/1.1" 200 7442
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:56:19 +0530] "GET /Project-4/ctl/StudentCtl HTTP/1.1" 200 6031
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:56:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:56:21 +0530] "GET /Project-4/ctl/StudentListCtl HTTP/1.1" 200 6529
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:56:23 +0530] "GET /Project-4/ctl/FacultyListCtl HTTP/1.1" 200 8473
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:56:24 +0530] "GET /Project-4/ctl/TimeTableListCtl HTTP/1.1" 200 6480
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:56:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:56:26 +0530] "GET /Project-4/ctl/CourseListCtl HTTP/1.1" 200 7286
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:56:53 +0530] "GET /Project-4/ctl/MyProfileCtl HTTP/1.1" 200 5612
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:56:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:56:53 +0530] "GET /Project-4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:58:04 +0530] "GET /Project-4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 4339
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:58:12 +0530] "GET /Project-4/ctl/MarksheetCtl HTTP/1.1" 200 5124
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:58:15 +0530] "GET /Project-4/ctl/MarksheetListCtl HTTP/1.1" 200 7442
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:58:20 +0530] "GET /Project-4/ctl/StudentCtl HTTP/1.1" 200 6031
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:58:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:58:46 +0530] "GET /Project-4/WelcomeCtl HTTP/1.1" 200 2299
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:58:49 +0530] "GET /Project-4/LoginCtl?operation=logout HTTP/1.1" 200 2860
